,0
0,0.30840874
1,0.13781716
2,0.008871816
3,0.0024834508
4,0.5434604
5,0.47493392
6,0.04969299
7,0.54015726
8,0.6361466
9,0.9996264
10,0.6767496
11,0.043299284
12,0.3192025
13,0.9332283
14,0.7355824
15,0.079040386
16,0.43250486
17,0.12200213
18,0.20243773
19,0.116670705
20,0.46570927
21,0.09634255
22,0.9983708
23,0.937936
24,0.34218815
25,0.09409221
26,0.8956284
27,0.35885373
28,0.97946256
29,0.31509426
30,0.24831285
31,0.37232998
32,0.99165076
33,0.21146943
34,0.52689123
35,0.99887663
36,0.20746401
37,0.02203036
38,0.08015977
39,0.9166064
40,0.48705524
41,0.038200308
42,0.9875206
43,0.21114019
44,0.6139319
45,0.88445544
46,0.041919347
47,0.0490957
48,0.95143336
49,0.9847915
50,0.38083252
51,0.2200155
52,0.2027491
53,0.2538391
54,0.7189751
55,0.4725346
56,0.21276255
57,0.59722966
58,0.66767955
59,0.90385383
60,0.97533756
61,0.77012426
62,0.9999999
63,0.37498555
64,0.6373992
65,0.9358371
66,0.31488928
67,0.056753386
68,0.47843698
69,0.13887456
70,0.8704063
71,0.99201435
72,0.9824316
73,0.8172936
74,0.22387618
75,0.1754496
76,0.033846367
77,0.61318076
78,0.062011324
79,0.15416002
80,0.99831367
81,0.9937605
82,0.023176279
83,0.20958258
84,0.07803503
85,0.51598984
86,0.014875705
87,0.9874746
88,0.06408327
89,0.7148024
90,0.07823352
91,0.27214438
92,0.7241564
93,0.1680098
94,0.16159377
95,0.6794852
96,0.647012
97,0.998552
98,0.30078307
99,0.9522261
100,0.6215769
101,0.8635248
102,0.69252735
103,0.052225538
104,0.30747303
105,0.016066637
106,0.11538881
107,0.04111326
108,0.6699206
109,0.46932158
110,0.15112671
111,0.67332304
112,0.18381284
113,0.029558357
114,0.35436472
115,0.2721294
116,0.2793625
117,0.9556865
118,0.12843077
119,0.8204117
120,0.039053366
121,0.2660204
122,0.23374358
123,0.43877137
124,0.77403265
125,0.47983655
126,0.045698375
127,0.9319283
128,0.16191077
129,0.9971403
130,0.71309114
131,0.99997354
132,0.11513854
133,0.7951035
134,0.99995935
135,0.1313877
136,0.34235787
137,0.081416026
138,0.99997973
139,0.7457209
140,0.21275854
141,0.9466805
142,0.028559102
143,0.051676154
144,0.040758386
145,0.12858544
146,0.51078624
147,0.89280707
148,0.97945696
149,0.011746593
150,0.53217965
151,0.22890094
152,0.7112036
153,0.008697419
154,0.52459824
155,0.10966951
156,0.045754835
157,0.831818
158,0.87126464
159,0.6922049
160,0.818682
161,0.9011498
162,0.4133532
163,0.9838663
164,0.7463986
165,0.13378413
166,0.18719552
167,0.805573
168,0.6441406
169,0.42460832
170,0.4390896
171,0.5947924
172,0.30862123
173,0.8710419
174,0.9520717
175,0.99925035
176,0.9963201
177,0.3489845
178,0.7221979
179,0.7396266
180,0.982621
181,0.41036233
182,0.9197073
183,0.38953412
184,0.053681254
185,0.9483966
186,0.80514145
187,0.16864438
188,0.64840096
189,0.27818748
190,0.9878258
191,0.39541498
192,0.3685357
193,0.6462561
194,0.13895503
195,0.9997805
196,0.05462819
197,0.31134436
198,0.17226243
199,0.9954261
200,0.5046951
201,0.40778852
202,0.999382
203,0.40453634
204,0.15267923
205,0.5946476
206,0.5480055
207,0.66615677
208,0.2164082
209,0.042477556
210,0.93962014
211,0.35796633
212,0.01696405
213,0.9995314
214,0.7326204
215,0.34967944
216,0.20463146
217,0.9924049
218,0.7906621
219,0.2008069
220,0.9611324
221,0.868187
222,0.37724903
223,0.49966618
224,0.9709237
225,0.353848
226,0.08830038
227,0.9998534
228,0.10592389
229,0.018951293
230,0.08910177
231,0.15810557
232,0.0075354096
233,0.72728014
234,0.19178818
235,0.27632195
236,0.059177134
237,0.7416171
238,0.07092996
239,0.979474
240,0.87627083
241,0.877703
242,0.6439403
243,0.25142246
244,0.81425405
245,0.74968463
246,0.047950376
247,0.85323256
248,0.43574673
249,0.053919464
250,0.040653944
251,0.00621201
252,0.7157813
253,0.3181846
254,0.044565585
255,0.95424026
256,0.5096665
257,0.40197265
258,0.97657883
259,0.00914452
260,0.29115906
261,0.7712466
262,0.62133944
263,0.033995822
264,0.3077759
265,0.31554198
266,0.12682241
267,0.723182
268,0.18789314
269,0.40878746
270,0.05943334
271,0.8240037
272,0.059788093
273,0.8737289
274,0.10307166
275,0.35723615
276,0.5234804
277,0.8536449
278,0.077086374
279,0.7221657
280,0.65592766
281,0.9857297
282,0.1907843
283,0.9816119
284,0.084756374
285,0.040058754
286,0.9250136
287,0.76988876
288,0.09788758
289,0.4875882
290,0.08580705
291,0.25315598
292,0.1397821
293,0.041085083
294,0.49394774
295,0.19502246
296,0.046548527
297,0.9028286
298,0.46089154
299,0.04688093
300,0.701336
301,0.06232291
302,0.34021884
303,0.017481845
304,0.64682144
305,0.46166
306,0.31773916
307,0.1381643
308,0.031133236
309,0.7147755
310,0.03929376
311,0.08421722
312,0.4508156
313,0.21813576
314,0.6009894
315,0.20476623
316,0.6579304
317,0.05368527
318,0.6431085
319,0.24830462
320,0.08065874
321,0.9675694
322,0.3779186
323,0.5832996
324,0.54711115
325,0.2162091
326,0.9987238
327,0.99860483
328,0.78174
329,0.13361913
330,0.7532538
331,0.86163193
332,0.024262266
333,0.6565788
334,0.101338305
335,0.5701927
336,0.689578
337,0.51659113
338,0.6471501
339,0.4890135
340,0.06721214
341,0.99327505
342,0.9866283
343,0.729251
344,0.006482684
345,0.0709993
346,0.87047946
347,0.045099333
348,0.45977068
349,0.06767736
350,0.16108762
351,0.98604774
352,0.05341747
353,0.50444674
354,0.93719006
355,0.1783398
356,0.97910714
357,0.23548736
358,0.10714355
359,0.044798557
360,0.8659475
361,0.9200948
362,0.3612458
363,0.4668318
364,0.32704106
365,0.024730228
366,0.080979496
367,0.6476465
368,0.79529047
369,0.18822196
370,0.21588546
371,0.7528579
372,0.8578958
373,0.10898595
374,0.03898929
375,0.3146491
376,0.43955666
377,0.60993713
378,0.08432339
379,0.3123749
380,0.9788866
381,0.039511986
382,0.06608304
383,0.35499713
384,0.37556702
385,0.99914765
386,0.037344906
387,0.93713325
388,0.065544635
389,0.13479874
390,0.58246535
391,0.05980947
392,0.04879796
393,0.8112484
394,0.19178018
395,0.17082348
396,0.8260568
397,0.31618917
398,0.4391179
399,0.9770347
400,0.5241452
401,0.046297662
402,0.7014399
403,0.6623367
404,0.9136357
405,0.013175576
406,0.7534642
407,0.99819523
408,0.46866181
409,0.046342947
410,0.9769677
411,0.28651386
412,0.6346022
413,0.892378
414,0.8946007
415,0.0074422485
416,0.09191194
417,0.123231605
418,0.61101794
419,0.58400863
420,0.084046446
421,0.44921157
422,0.14959812
423,0.93579847
424,0.72643524
425,0.7024749
426,0.9492975
427,0.015240726
428,0.019242037
429,0.6688731
430,0.33143103
431,0.1169788
432,0.43086335
433,0.49615836
434,0.995391
435,0.54339796
436,0.89329004
437,0.42981005
438,0.07628196
439,0.6556331
440,0.8773837
441,0.6582943
442,0.028251525
443,0.0059745642
444,0.43868518
445,0.96993476
446,0.99328
447,0.81591594
448,0.124147594
449,0.5902313
450,0.6858656
451,0.09415878
452,0.8480226
453,0.39176446
454,0.02159016
455,0.977514
456,0.96406686
457,0.033630732
458,0.917924
459,0.6423329
460,0.30833924
461,0.5366097
462,0.5219935
463,0.8776147
464,0.99364763
465,0.15712388
466,0.019718783
467,0.30317628
468,0.49432755
469,0.99509406
470,0.023569789
471,0.6479359
472,0.4107418
473,0.58912116
474,0.31730303
475,0.012310031
476,0.033889506
477,0.8227747
478,0.9999751
479,0.6497468
480,0.32881352
481,0.70960844
482,0.37898028
483,0.9998311
484,0.8026178
485,1.0
486,0.74857616
487,0.33603278
488,0.35450482
489,0.8594578
490,0.6840815
491,0.11110141
492,0.012454262
493,0.012222725
494,0.4987056
495,0.20050883
496,0.9247328
497,0.39121825
498,0.39169648
499,0.10184872
500,0.31059977
501,0.9132733
502,0.79584634
503,0.23609674
504,0.41831896
505,0.93104815
506,0.025106514
507,0.973102
508,0.09515917
509,0.6296987
510,0.6394398
511,0.9995228
512,0.9661406
513,0.8631101
514,0.19424714
515,0.6032866
516,0.14306895
517,0.012131594
518,0.018723484
519,0.23817539
520,0.68771815
521,0.23581576
522,0.19348708
523,0.99542
524,0.06927765
525,0.42293602
526,0.09892587
527,0.16272688
528,0.9626297
529,0.037699435
530,0.0059998035
531,0.27532843
532,0.969857
533,0.40816158
534,0.64483017
535,0.016921608
536,0.72202265
537,0.85860527
538,0.27872926
539,0.39220107
540,0.9636657
541,0.26411232
542,0.04019982
543,0.38309658
544,0.0025080612
545,0.77495307
546,0.7377718
547,0.1191029
548,0.29865107
549,0.6777874
550,0.3056115
551,0.88914967
552,0.99999833
553,0.99948883
554,0.22351085
555,0.96900386
556,0.88702774
557,0.933441
558,0.05830891
559,0.2801147
560,0.27107227
561,0.032292943
562,0.6006466
563,0.31010306
564,0.8527244
565,0.49661583
566,0.19126965
567,0.93350154
568,0.921928
569,0.03394838
570,0.16379118
571,0.79988796
572,0.24648488
573,0.977545
574,0.76494104
575,0.8972645
576,0.25217336
577,0.856633
578,0.24159329
579,0.27184153
580,0.51973933
581,0.19759032
582,0.8559301
583,0.9453291
584,0.6690035
585,0.7787247
586,0.1050652
587,0.063753374
588,0.9855538
589,0.7230439
590,0.1624917
591,0.051447358
592,0.41122717
593,0.13224323
594,0.10805305
595,0.9237118
596,0.96873313
597,0.98167396
598,0.9137316
599,0.61345553
600,0.12842335
601,0.7194883
602,0.16120861
603,0.784557
604,0.028275372
605,0.16517651
606,0.9757676
607,0.9981818
608,0.84465307
609,0.49671233
610,0.87697536
611,0.111458436
612,0.5624024
613,0.31362718
614,0.983096
615,0.8779865
616,0.93991524
617,0.6505464
618,0.71279866
619,0.2753508
620,0.99553597
621,0.011726427
622,0.9865384
623,0.9999294
624,0.71693
625,0.97250134
626,0.48799303
627,0.13747664
628,0.297527
629,0.010090215
630,0.05100027
631,0.96929884
632,0.9125432
633,0.72255915
634,0.5740091
635,0.93568385
636,0.15956666
637,0.038499143
638,0.08986045
639,0.9955711
640,0.97049797
641,0.96210754
642,0.04241331
643,0.6642618
644,0.8253377
645,0.114154354
646,0.9154238
647,0.25492924
648,0.87203014
649,0.77919054
650,0.06483957
651,0.6311683
652,0.795797
653,0.099428445
654,0.8852233
655,0.20805329
656,0.33083218
657,0.0009100114
658,0.98470056
659,0.006374788
660,0.9288928
661,0.016660547
662,0.8872275
663,0.9765953
664,0.6015031
665,0.9979705
666,0.63152504
667,0.46693373
668,0.5106058
669,0.025184631
670,0.58023226
671,0.8601817
672,0.81741637
673,0.63314724
674,0.03885185
675,0.09547091
676,0.1630901
677,0.21196745
678,0.8953312
679,0.98438394
680,0.2701774
681,5.238598e-18
682,0.5951419
683,0.24205412
684,0.9854371
685,0.26147348
686,0.6121518
687,0.9996537
688,0.6183436
689,0.29764637
690,0.19377029
691,0.060351282
692,0.611482
693,0.33180538
694,0.8068147
695,0.3906708
696,0.024999728
697,0.27573124
698,0.28128266
699,0.20457181
700,0.34738296
701,0.13708079
702,0.30811626
703,0.74305147
704,0.99999976
705,0.64253175
706,0.7775582
707,0.012534818
708,0.86400706
709,0.40812165
710,0.91000605
711,0.088036925
712,0.4952634
713,0.8733662
714,0.4150725
715,0.65179014
716,0.732984
717,0.47534096
718,0.95448315
719,0.012353257
720,0.54415786
721,0.26460525
722,0.7720853
723,0.59449834
724,0.99023825
725,0.9642709
726,0.6860653
727,0.8246961
728,0.2000488
729,0.31066903
730,0.65176076
731,0.04360756
732,0.6825064
733,0.6665007
734,0.5051632
735,0.42982724
736,0.19578536
737,0.9999845
738,0.96510035
739,0.66227645
740,0.67496014
741,0.18280964
742,0.5165339
743,0.12596315
744,0.94256395
745,0.2754466
746,0.23271847
747,0.96844417
748,0.56865907
749,0.43607983
750,0.009349312
751,0.29221186
752,0.5813063
753,0.96947217
754,0.45738563
755,0.13979904
756,0.8245227
757,0.09942471
758,0.8661928
759,0.4646306
760,0.2610872
761,0.22447999
762,0.31442583
763,0.23110875
764,0.9951841
765,0.9937311
766,0.9983595
767,0.84955627
768,0.049819846
769,0.31109455
770,0.40267345
771,0.05252521
772,0.17340861
773,0.71960664
774,0.82273823
775,0.11155686
776,0.5519745
777,0.07163131
778,0.02840423
779,0.32691735
780,0.0926716
781,0.7897175
782,0.9923873
783,0.9978823
784,0.10396084
785,0.0032140987
786,0.99653697
787,0.95771605
788,0.6251628
789,0.11151798
790,0.20510468
791,0.0073572467
792,0.63259506
793,0.053262338
794,0.30980676
795,0.32748216
796,0.03368966
797,0.8866377
798,0.6697034
799,0.4042176
800,0.1511684
801,0.1930829
802,0.47198954
803,0.5801028
804,0.0395916
805,0.020140402
806,0.14210941
807,0.97448575
808,0.15860263
809,0.55996925
810,0.9117844
811,0.30536723
812,0.6802754
813,0.121775955
814,0.32880807
815,0.09888071
816,0.25460833
817,0.25481588
818,0.88414454
819,0.44443575
820,0.48789188
821,0.48698384
822,0.0942087
823,0.5030478
824,0.9465073
825,0.86774474
826,0.23223127
827,0.6650983
828,0.053302284
829,0.028216071
830,0.30622613
831,0.999974
832,0.9999167
833,0.052867543
834,0.2559996
835,0.3162413
836,0.050020132
837,0.5028317
838,0.9977182
839,0.1013461
840,0.8617019
841,0.9955205
842,0.66624945
843,0.81988287
844,0.19744858
845,0.94252676
846,0.83588105
847,0.7601603
848,0.25103295
849,0.9539487
850,0.22721633
851,0.59098977
852,0.8219271
853,0.9137757
854,0.2304377
855,0.08174833
856,0.11263948
857,0.57897496
858,0.62929916
859,0.99728656
860,0.3494282
861,0.27472034
862,0.3192919
863,0.6580474
864,0.99438196
865,0.4642272
866,0.9422261
867,0.14021462
868,0.4116817
869,0.30211943
870,0.5329678
871,0.7419633
872,0.9894064
873,0.19784981
874,0.03182705
875,0.5625217
876,0.04488798
877,0.030326255
878,0.9982743
879,0.9991831
880,0.82693994
881,0.36080644
882,0.24196084
883,0.6608423
884,0.07240922
885,0.833028
886,0.012412447
887,0.8526444
888,0.54908794
889,0.20015945
890,0.9983047
891,0.904582
892,0.48232344
893,0.50747377
894,0.31965643
895,0.04113653
896,0.44824675
897,0.6171048
898,0.114245296
899,0.38344115
900,0.78803664
901,0.20154737
902,0.009877585
903,0.42705423
904,0.9727175
905,0.29661664
906,0.03797358
907,0.72228503
908,0.66347826
909,0.47051516
910,0.37661844
911,0.74402595
912,0.9961481
913,0.070154205
914,0.09416442
915,0.07894057
916,0.49475157
917,0.15234128
918,0.0029071663
